date,equity,peak_equity,drawdown_pct,open_positions,open_risk_usdt,reserved_margin_usdt
2026-08-17,60000.0000,60000.0000,0.0000,20,3000.0000,13211.3807
2026-08-20,60000.0000,60000.0000,0.0000,20,3000.0000,13211.3807
2026-08-23,60000.0000,60000.0000,0.0000,20,3000.0000,13211.3807
2026-08-25,60000.0000,60000.0000,0.0000,20,3000.0000,13211.3807
2026-08-26,60000.0000,60000.0000,0.0000,20,3000.0000,13211.3807
2026-08-28,60000.0000,60000.0000,0.0000,20,3000.0000,13211.3807
2026-08-29,61097.3739,61097.3739,0.0000,20,3032.9212,14532.8834
2026-08-30,61097.3739,61097.3739,0.0000,20,3032.9212,14532.8834
2026-08-31,61097.3739,61097.3739,0.0000,20,3032.9212,14532.8834
2026-09-01,61097.3739,61097.3739,0.0000,20,3032.9212,14532.8834
2026-09-02,61097.3739,61097.3739,0.0000,20,3032.9212,14532.8834
2026-09-03,61097.3739,61097.3739,0.0000,20,3032.9212,14532.8834
2026-09-04,61097.3739,61097.3739,0.0000,20,3032.9212,14532.8834
